iris,FT_Transformer,0.982,0.982,0.982,0.000,0.000,nan
iris,PseudoLabel,0.982,0.982,0.982,0.000,0.000,nan
iris,PiModel,0.982,0.982,0.978,0.003,0.003,-0.507
iris,ICT,0.982,0.982,0.982,0.000,0.000,nan
iris,UDA,0.984,0.987,0.982,0.001,0.002,-0.828
iris,FixMatch,0.984,0.982,0.982,0.002,0.003,0.414
iris,FlexMatch,0.976,0.987,0.956,0.017,0.020,0.145
iris,SoftMatch,0.980,0.987,0.973,0.004,0.006,-0.567
wine,FT_Transformer,0.947,0.947,0.947,0.000,0.000,nan
wine,PseudoLabel,0.964,0.967,0.947,0.013,0.013,-0.033
wine,PiModel,0.966,0.967,0.953,0.009,0.009,-0.660
wine,ICT,0.960,0.960,0.960,0.000,0.000,nan
wine,UDA,0.972,0.973,0.960,0.009,0.010,-0.567
wine,FixMatch,0.959,0.980,0.947,0.008,0.007,-0.938
wine,FlexMatch,0.957,0.967,0.930,0.013,0.011,-0.797
wine,SoftMatch,0.932,0.950,0.917,0.022,0.025,-0.135
letter,FT_Transformer,0.776,0.776,0.776,0.000,0.000,nan
letter,PseudoLabel,0.790,0.792,0.789,0.001,0.001,-0.917
letter,PiModel,0.784,0.791,0.777,0.003,0.003,-0.935
letter,ICT,0.780,0.780,0.780,0.000,0.000,nan
letter,UDA,0.784,0.784,0.784,0.000,0.000,nan
letter,FixMatch,0.772,0.823,0.738,0.018,0.011,-0.959
letter,FlexMatch,0.735,0.754,0.711,0.014,0.014,-0.782
letter,SoftMatch,0.728,0.776,0.695,0.016,0.017,-0.898
covertype,FT_Transformer,0.638,0.638,0.638,0.000,0.000,nan
covertype,PseudoLabel,0.652,0.652,0.649,0.001,0.001,-0.839
covertype,PiModel,0.656,0.661,0.651,0.005,0.006,-0.139
covertype,ICT,0.645,0.645,0.645,0.000,0.000,nan
covertype,UDA,0.622,0.624,0.620,0.002,0.002,-0.251
covertype,FixMatch,0.620,0.620,0.610,0.007,0.008,0.686
covertype,FlexMatch,0.619,0.627,0.603,0.006,0.004,-0.945
covertype,SoftMatch,0.628,0.645,0.615,0.006,0.004,-0.953
