iris,FT_Transformer,0.937,0.937,0.937,0.000,0.000,nan
iris,PseudoLabel,0.922,0.920,0.920,0.001,0.002,-0.293
iris,PiModel,0.913,0.910,0.910,0.003,0.004,-0.293
iris,ICT,0.923,0.923,0.923,0.000,0.000,nan
iris,UDA,0.926,0.927,0.920,0.005,0.006,-0.744
iris,FixMatch,0.933,0.940,0.927,0.007,0.008,-0.319
iris,FlexMatch,0.909,0.893,0.857,0.024,0.028,0.825
iris,SoftMatch,0.934,0.923,0.923,0.003,0.004,0.925
wine,FT_Transformer,0.938,0.938,0.938,0.000,0.000,nan
wine,PseudoLabel,0.888,0.911,0.868,0.012,0.010,-0.937
wine,PiModel,0.932,0.943,0.916,0.005,0.006,-0.934
wine,ICT,0.916,0.916,0.916,0.000,0.000,nan
wine,UDA,0.924,0.935,0.881,0.030,0.035,0.326
wine,FixMatch,0.912,0.959,0.881,0.022,0.025,-0.564
wine,FlexMatch,0.910,0.932,0.851,0.048,0.056,-0.153
wine,SoftMatch,0.887,0.957,0.816,0.050,0.069,-0.000
letter,FT_Transformer,0.490,0.490,0.490,0.000,0.000,nan
letter,PseudoLabel,0.534,0.538,0.532,0.002,0.002,-0.401
letter,PiModel,0.541,0.552,0.537,0.003,0.004,-0.761
letter,ICT,0.540,0.540,0.540,0.000,0.000,nan
letter,UDA,0.537,0.537,0.537,0.000,0.000,nan
letter,FixMatch,0.499,0.548,0.470,0.022,0.035,-0.237
letter,FlexMatch,0.435,0.470,0.406,0.020,0.029,-0.015
letter,SoftMatch,0.501,0.536,0.475,0.020,0.022,-0.231
covertype,FT_Transformer,0.573,0.573,0.573,0.000,0.000,nan
covertype,PseudoLabel,0.586,0.584,0.583,0.002,0.002,-0.275
covertype,PiModel,0.591,0.584,0.584,0.004,0.004,0.893
covertype,ICT,0.556,0.556,0.556,0.000,0.000,nan
covertype,UDA,0.572,0.568,0.568,0.003,0.003,0.434
covertype,FixMatch,0.541,0.541,0.532,0.008,0.009,0.420
covertype,FlexMatch,0.538,0.551,0.529,0.007,0.009,-0.389
covertype,SoftMatch,0.564,0.546,0.546,0.008,0.012,0.287
